date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:18	156/156	---MC-	200	added ('OK')	text/plain	date:Fri,%2027%20Apr%202018%2005:26:14%20GMT	https://komatsusrkyoto.jimdo.com/robots.txt		(from )
14:26:18	36418/36418	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2005:26:15%20GMT	https://komatsusrkyoto.jimdo.com/	C:/My%20Web%20Sites/backup/komatsusrkyoto.jimdo.com/index.html	(from )
14:26:18	219684/219684	---M--	200	added ('OK')	image/jpeg	etag:%22e71e6e70880a2855c5852dbd8ab39724%22	https://image.jimcdn.com/app/cms/image/transf/none/path/sc4b1a3ffad1915d6/backgroundarea/if5599d9912d1be1a/version/1474735195/image.jpg	C:/My%20Web%20Sites/backup/image.jimcdn.com/app/cms/image/transf/none/path/sc4b1a3ffad1915d6/backgroundarea/if5599d9912d1be1a/version/1474735195/image.jpg	(from https://komatsusrkyoto.jimdo.com/)
14:26:18	56827/56827	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Apr%202018%2005:26:15%20GMT	https://u.jimcdn.com/cms/o/sc4b1a3ffad1915d6/layout/dm_22f91045c076a2523c02ffb6da60f364/css/layout.css?t=1496221590	C:/My%20Web%20Sites/backup/u.jimcdn.com/cms/o/sc4b1a3ffad1915d6/layout/dm_22f91045c076a2523c02ffb6da60f364/css/layoutf326.css	(from https://komatsusrkyoto.jimdo.com/)
14:26:18	221710/221710	---M-Z	200	added ('OK')	text/css	etag:%22e7c538171d80b2c886d8beb7c2af98cc%22	https://assets.jimstatic.com/web.css.7f0b4fa4b1608b4cd6c3935280c5c25d.css	C:/My%20Web%20Sites/backup/assets.jimstatic.com/web.css.7f0b4fa4b1608b4cd6c3935280c5c25d.css	(from https://komatsusrkyoto.jimdo.com/)
14:26:19	570477/570477	---M-Z	200	added ('OK')	application/javascript	etag:%225d5413492902aa0c7ac602d1e5e3210a%22	https://assets.jimstatic.com/web.js.910333d9b0963d96f918.js	C:/My%20Web%20Sites/backup/assets.jimstatic.com/web.js.910333d9b0963d96f918.js	(from https://komatsusrkyoto.jimdo.com/)
14:26:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2027%20Apr%202018%2005:26:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/backup/www.googletagmanager.com/gtm.45445.delayed	(from https://komatsusrkyoto.jimdo.com/)
14:26:19	8429/8429	---M--	200	added ('OK')	image/gif	etag:%2292dfbaf6639c0ffcef6f448bb56568e4%22	https://image.jimcdn.com/app/cms/image/transf/none/path/sc4b1a3ffad1915d6/image/i774c099bcb3ab04c/version/1493715280/image.gif	C:/My%20Web%20Sites/backup/image.jimcdn.com/app/cms/image/transf/none/path/sc4b1a3ffad1915d6/image/i774c099bcb3ab04c/version/1493715280/image.gif	(from https://komatsusrkyoto.jimdo.com/)
14:26:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Apr%202018%2005:26:17%20GMT	http://komatsusrkyoto.jimdo.com/j/privacy	C:/My%20Web%20Sites/backup/komatsusrkyoto.jimdo.com/j/privacy.6.delayed	(from https://komatsusrkyoto.jimdo.com/)
14:26:20	12370/12370	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2027%20Apr%202018%2005:26:17%20GMT	https://komatsusrkyoto.jimdo.com/%e6%b3%95%e4%ba%ba-%e4%ba%8b%e6%a5%ad%e4%b8%bb%e3%81%ae%e6%96%b9%e3%81%b8/	C:/My%20Web%20Sites/backup/komatsusrkyoto.jimdo.com/%e6%b3%95%e4%ba%ba-%e4%ba%8b%e6%a5%ad%e4%b8%bb%e3%81%ae%e6%96%b9%e3%81%b8/index.html	(from https://komatsusrkyoto.jimdo.com/)
